GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-457711794,SushiGo,3,GAME_OVER,81,0,3,23,Basic MCTS,37.0,36.0,45.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
5290360,SushiGo,3,GAME_OVER,81,0,3,24,Basic MCTS,45.0,35.0,42.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
1137946463,SushiGo,3,GAME_OVER,82,0,3,25,Basic MCTS,39.0,36.0,47.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-365570793,SushiGo,3,GAME_OVER,81,0,3,26,Basic MCTS,45.0,50.0,50.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-255820716,SushiGo,3,GAME_OVER,83,0,3,27,Basic MCTS,42.0,34.0,42.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
-1402449380,SushiGo,3,GAME_OVER,83,0,3,28,Basic MCTS,36.0,28.0,42.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-923806133,SushiGo,3,GAME_OVER,83,0,3,29,Basic MCTS,43.0,34.0,49.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
2132847292,SushiGo,3,GAME_OVER,82,0,3,30,Basic MCTS,34.0,31.0,29.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
664301646,SushiGo,3,GAME_OVER,82,0,3,31,Basic MCTS,53.0,31.0,34.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
1770768813,SushiGo,3,GAME_OVER,85,0,3,32,Basic MCTS,40.0,33.0,35.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
